date,price
2016-07-01 17:11:01,42240
2016-07-01 21:11:03,41803
2016-07-02 01:11:02,40255
2016-07-02 05:11:03,41477
2016-07-02 09:11:03,40445
2016-07-02 13:11:02,40307
2016-07-02 17:11:03,42093
2016-07-02 21:11:03,41520
2016-07-03 01:11:03,40172
2016-07-03 05:11:03,41653
2016-07-03 09:11:02,40762
2016-07-03 13:11:03,40387
2016-07-03 17:11:03,41699
2016-07-03 21:11:03,40649
2016-07-04 01:11:03,41598
2016-07-04 05:11:03,41300
2016-07-04 09:11:02,39888
2016-07-04 13:11:02,40502
2016-07-04 17:11:02,41599
2016-07-04 21:11:02,40577
2016-07-05 01:11:02,40768
2016-07-05 05:11:02,41300
2016-07-05 09:11:03,40233
2016-07-05 15:21:03,40662
2016-07-05 19:21:02,42417
2016-07-05 23:21:07,40865
2016-07-06 03:21:03,41667
2016-07-06 07:21:02,41457
2016-07-06 11:21:02,41087
2016-07-06 15:21:02,40654
2016-07-06 19:21:03,42060
2016-07-06 23:21:02,40815
2016-07-07 03:21:02,41678
2016-07-07 07:21:03,40711
2016-07-07 11:21:02,40311
2016-07-07 15:21:02,41182
2016-07-07 19:21:02,41825
2016-07-07 23:21:03,40775
2016-07-08 03:21:03,41456
2016-07-08 07:21:01,41057
2016-07-08 11:21:02,38936
2016-07-08 15:21:02,41562
2016-07-08 19:21:04,41719
2016-07-08 23:21:03,40576
2016-07-09 03:21:10,40926
2016-07-09 07:21:04,40339
2016-07-09 11:21:04,40273
2016-07-09 15:21:04,41397
2016-07-09 19:21:04,41491
2016-07-09 23:21:04,39958
2016-07-10 03:21:04,40727
2016-07-10 07:21:04,40116
2016-07-10 11:21:03,39505
2016-07-10 15:21:04,41227
2016-07-10 19:21:04,40937
2016-07-10 23:21:04,40063
2016-07-11 03:21:05,40915
2016-07-11 07:21:04,42139
2016-07-11 11:21:04,40178
2016-07-11 15:31:12,41054
2016-07-11 19:31:04,42655
2016-07-11 23:31:04,42796
2016-07-12 03:31:04,40922
2016-07-12 07:31:04,40847
2016-07-12 11:31:04,41012
2016-07-12 17:51:06,41501
2016-07-12 21:51:04,42526
2016-07-13 01:51:04,42546
2016-07-13 05:51:05,42140
2016-07-13 09:51:05,40428
2016-07-13 13:51:04,41006
2016-07-13 17:51:05,42478
2016-07-13 21:51:05,43329
2016-07-14 01:51:05,42194
2016-07-14 05:51:04,40585
2016-07-14 09:51:05,40649
2016-07-14 13:51:04,41354
2016-07-14 17:51:03,42336
2016-07-14 21:51:04,41714
2016-07-15 01:51:05,41060
2016-07-15 05:51:04,41620
2016-07-15 09:51:02,40323
2016-07-15 13:51:03,40675
2016-07-15 17:51:03,41715
2016-07-15 21:51:02,40723
2016-07-16 01:51:02,41086
2016-07-16 05:51:02,40905
2016-07-16 09:51:02,41118
2016-07-16 13:51:03,40730
2016-07-16 17:51:03,40952
2016-07-16 21:51:03,41258
2016-07-17 01:51:02,41518
2016-07-17 05:51:02,40469
2016-07-17 09:51:02,41043
2016-07-17 13:51:02,41405
2016-07-17 17:51:01,41176
2016-07-17 21:51:03,41217
2016-07-18 01:51:03,41090
2016-07-18 05:51:02,42393
2016-07-18 09:51:02,42040
2016-07-18 13:51:03,41341
2016-07-18 17:51:03,43189
2016-07-18 21:51:02,45215
2016-07-19 01:51:03,45056
2016-07-19 05:51:02,42577
2016-07-19 09:51:02,43304
2016-07-19 16:41:30,45546
2016-07-19 22:48:26,50413
2016-07-20 02:41:06,44968
2016-07-20 06:41:06,40480
2016-07-20 10:41:06,41039
2016-07-20 14:41:03,44398
2016-07-20 18:41:03,47366
2016-07-21 05:07:07,41533
2016-07-21 09:01:09,41403
2016-07-21 13:01:11,41753
2016-07-21 17:01:12,43188
2016-07-21 21:01:09,43721
2016-07-22 03:41:38,41948
2016-07-22 07:41:05,40270
2016-07-22 11:41:09,40375
2016-07-22 15:41:05,41981
2016-07-22 19:41:12,42891
2016-07-23 01:41:30,41163
2016-07-23 05:41:19,40484
2016-07-23 09:41:21,41176
2016-07-23 13:41:19,41239
2016-07-23 17:41:25,41043
2016-07-23 21:41:26,40648
2016-07-24 01:41:13,40730
2016-07-24 05:41:05,40583
2016-07-24 09:41:22,39972
2016-07-24 13:41:16,40643
2016-07-24 17:41:18,40872
2016-07-24 21:41:16,40542
2016-07-25 01:41:22,40067
2016-07-25 05:41:21,41104
2016-07-25 09:41:21,40644
2016-07-25 13:41:21,40587
2016-07-25 17:41:22,41090
2016-07-25 21:41:24,41065
2016-07-26 01:41:22,40416
2016-07-26 05:41:28,41295
2016-07-26 09:41:22,40109
2016-07-26 13:41:22,40262
2016-07-26 17:41:24,41175
2016-07-26 21:41:38,41560
2016-07-27 01:51:50,43279
2016-07-27 05:51:36,45598
2016-07-27 09:51:40,41721
2016-07-27 13:51:27,38712
2016-07-27 17:51:23,42979
2016-07-27 21:51:23,45778
2016-07-28 01:51:23,42058
2016-07-28 05:51:39,40752
2016-07-28 09:51:40,40301
2016-07-28 13:51:40,40758
2016-07-28 17:51:40,41389
2016-07-28 21:51:45,40940
2016-07-29 01:51:42,40592
2016-07-29 05:51:44,41426
2016-07-29 09:51:42,39497
2016-07-29 13:51:43,39477
2016-07-29 17:51:41,40817
2016-07-29 21:51:38,39749
2016-07-30 01:51:42,40366
2016-07-30 05:51:40,39582
2016-07-30 09:51:42,39276
2016-07-30 13:51:40,40399
2016-07-30 17:51:46,39932
2016-07-30 21:51:45,39314
2016-07-31 01:51:45,40595
2016-07-31 05:51:47,39287
2016-07-31 09:51:45,39510
2016-07-31 13:51:45,39990
2016-07-31 17:51:44,39944
2016-07-31 21:51:45,40265
2016-08-01 01:51:49,39825
2016-08-01 05:51:47,39924
2016-08-01 09:51:45,39179
2016-08-01 14:41:41,40025
2016-08-01 18:41:49,40533
2016-08-01 22:41:47,39762
2016-08-02 02:41:47,39884
2016-08-02 06:41:41,40663
2016-08-02 10:41:13,38573
2016-08-02 14:41:46,39635
2016-08-02 18:41:40,41154
2016-08-02 22:41:37,39976
2016-08-03 14:21:43,39591
2016-08-04 15:16:17,39783
2016-08-04 22:03:42,39806
2016-08-05 14:51:08,39636
2016-08-05 19:31:13,40023
2016-08-05 23:36:19,38877
2016-08-06 03:36:24,39220
2016-08-06 07:36:20,39222
2016-08-06 11:46:19,39065
2016-08-06 15:46:20,38999
2016-08-06 19:46:20,39082
2016-08-06 23:46:20,39216
2016-08-07 03:46:20,39208
2016-08-07 07:46:19,39252
2016-08-07 11:46:20,38623
2016-08-07 15:46:19,39700
2016-08-07 19:46:20,39378
2016-08-07 23:46:19,38548
2016-08-08 03:46:22,39586
2016-08-08 07:46:22,39876
2016-08-08 11:46:22,39561
2016-08-08 15:46:22,39695
2016-08-08 19:46:22,39522
